Date,Network,GSM Register Attempt,GPRS Register Attempt,GSM Register Success,GPRS Register Success,GSM Success Ratio (%),GPRS Success Ratio (%),GSM Avg Register Roamers,GPRS Avg Register Roamers,GSM Out of Total Roamer(%),GPRS Out of Total Roamer(%),Country
2014-02-18,Smart (KHM),826,65,7,8,0.00847457627118644,0.12307692307692308,4,2,6.196362735074511E-5,7.549733871881016E-5,CAMBODIA,
2014-02-18,Bell Mobility (CAN),197,446,103,433,0.5228426395939086,0.9708520179372198,17,13,2.633454162406667E-4,4.907327016722661E-4,CANADA,
2014-02-18,Microcell - HPMN,1094,2326,756,2324,0.6910420475319927,0.999140154772141,77,71,0.0011927998265018433,0.002680155524517761,CANADA,
2014-02-18,Telus (CAN),406,50,23,24,0.05665024630541872,0.48,1,1,1.5490906837686278E-5,3.774866935940508E-5,CANADA,
2014-02-18,Entel PCS (CHL),25,26,16,25,0.64,0.9615384615384616,8,3,1.2392725470149023E-4,1.1324600807821524E-4,CHILE,
2014-02-18,CMCC,114038,24707,9676,13159,0.08484891001245198,0.5326020965718218,2530,3109,0.039191994299346285,0.11736061303839039,CHINA,
2014-02-18,China Unicom,217573,31667,709,942,0.003258676398266329,0.0297470552941548,116,78,0.0017969451931716084,0.002944396210033596,CHINA,
2014-02-18,Comcel (COL),23,10,3,8,0.13043478260869565,0.8,1,1,1.5490906837686278E-5,3.774866935940508E-5,COLOMBIA,
2014-02-18,T-Mobile (HRV),117,93,112,91,0.9572649572649573,0.978494623655914,27,33,4.182544846175295E-4,0.0012457060888603677,CROATIA,
2014-02-18,Tele2 (HRV),277,0,277,0,1.0,0.0,31,0,4.8021811196827463E-4,0.0,CROATIA,
2014-02-18,VipNet,486,694,466,683,0.9588477366255144,0.984149855907781,29,39,4.492362982929021E-4,0.001472198105016798,CROATIA,
2014-02-18,CYTA,179,617,179,617,1.0,1.0,31,16,4.8021811196827463E-4,6.039787097504813E-4,CYPRUS,
2014-02-18,MTN (CYP),2,0,2,0,1.0,0.0,1,0,1.5490906837686278E-5,0.0,CYPRUS,
2014-02-18,T-Mobile (CZE),155,533,117,528,0.7548387096774194,0.9906191369606003,14,11,2.1687269572760788E-4,4.152353629534559E-4,CZECH REPUBLIC,
2014-02-18,Vodafone (CZE),642,604,136,497,0.2118380062305296,0.8228476821192053,22,11,3.4079995042909814E-4,4.152353629534559E-4,CZECH REPUBLIC,
2014-02-18,TDC mobil (DNK),6059,9592,1397,9585,0.23056610001650438,0.9992702251876564,221,185,0.0034234904111286675,0.00698350383148994,DENMARK,
2014-02-18,Telenor (DNK),4262,0,0,0,0.0,0.0,0,0,0.0,0.0,DENMARK,
2014-02-18,Telia (DNK),1530,382,28,98,0.018300653594771243,0.25654450261780104,8,7,1.2392725470149023E-4,2.6424068551583556E-4,DENMARK,
2014-02-18,Timor Telecom,180,21,3,0,0.016666666666666666,0.0,3,0,4.6472720513058835E-5,0.0,EAST TIMOR,
